Order,Member,SKU,Created On,Description,Member's Gender,Member's Membership Level,Member's Purchase History,Order Value,Payment Method,Order Status,Total_Items,Age Group
6425525,M44156,"15668416, 15668685, 15668458, 15670010, 15668451, 15668474, 34938526",29-09-2014,"Banana, Beans, Brinjals, Almonds, Brinjals, Beans, Other Sweets",Male,Gold,5,677,PayPal,Pending,7,55+
6425899,M56309,"15668460, 7572254, 15668378, 15668495, 92435740, 15669829, 15668595, 7575638",29-09-2014,"Gourd & Cucumber, Cooking Sauce, Other Vegetables, Exotic Vegetables, Cooking Sauce, Raw Rice, Exotic Vegetables, Instant Noodles",Female,Silver,3,585,Cash,Shipped,8,0-18
6426214,M62833,"15669994, 15669859, 34992815, 15668684, 7569799, 34935569, 15669864, 7637309, 15669993, 15668473",29-09-2014,"Other Pulses, Kidney Beans, Cookies, Beans, Snacks, Bakery & Breads, Other Pulses, Mosquito Repellent, Other Pulses, Beans",Male,Bronze,2,246,PayPal,Pending,10,55+
6426322,M22037,"7575476, 34992851, 15669965, 7610118, 7631723, 15669780, 34938526, 34933820",29-09-2014,"Pain Relievers, Cut Vegetables, Raisins, Aluminium Foil & Cling Wrap, Hair Oil, Sugar, Other Sweets, Home & Air Freshener",Female,Gold,5,574,Cash,Pending,8,55+
6426680,M91098,"15669777, 15669799, 15669870, 15669833, 15669775, 21408953",30-09-2014,"Urad Dal, Raisins, Millet flour, Raw Rice, Millet flour, Whole Spices",Female,Bronze,10,919,PayPal,Delivered,6,0-18
6426838,M27458,"15668380, 15668375, 15668460, 34989667, 15669878, 15669864, 15668469, 15668381",30-09-2014,"Other Vegetables, Root Vegetables, Gourd & Cucumber, Other Rice Products, Kidney Beans, Other Pulses, Beans, Other Vegetables",Female,Silver,9,169,Credit Card,Shipped,8,55+
6427450,M09303,"7572301, 7593949, 7572311, 7572300, 15668520",30-09-2014,"Snacks, Cream Biscuits, Snacks, Snacks, Bread",Female,Silver,5,975,PayPal,Pending,5,0-18
6427744,M90375,"15668379, 15669864, 15668465, 15669863, 15668451, 15668375",30-09-2014,"Other Vegetables, Other Pulses, Root Vegetables, Moong Dal, Brinjals, Root Vegetables",Female,Gold,2,214,PayPal,Delivered,6,0-18
6428149,M48101,"15668688, 7569802, 15669797, 7572301, 7572254, 15668467, 7572252, 15669965, 34938526",30-09-2014,"Root Vegetables, Snacks, Raisins, Snacks, Cooking Sauce, Beans, Cooking Paste, Raisins, Other Sweets",Female,Silver,10,330,PayPal,Delivered,9,55+
6428570,M96365,"15668381, 15669875, 15668460, 15668378, 34986330",30-09-2014,"Other Vegetables, Kidney Beans, Gourd & Cucumber, Other Vegetables, Raw Rice",Female,Silver,7,498,Cash,Pending,5,55+
6429337,M84827,"15669965, 15669881, 15670009, 15669856, 15669804, 21410640",30-09-2014,"Raisins, Millet flour, Almonds, Sugar, Cashews, Organic Rice & Rice Products",Male,Gold,7,265,Credit Card,Delivered,6,55+
6429360,M59012,"93009339, 21410748, 15668688, 21408942, 15668416, 21410750",30-09-2014,"Organic Flours, Organic Juices, Root Vegetables, Other Rice Products, Banana, Organic Juices",Male,Silver,10,658,PayPal,Pending,6,55+
6429414,M46687,"15670267, 15669863, 34986330, 15669856, 34938526, 15669789, 15668451, 15669786, 15669760, 15669777, 15669770, 15669860, 15669830, 34989502, 15669878, 15669874, 15669880",30-09-2014,"Kidney Beans, Moong Dal, Raw Rice, Sugar, Other Sweets, Boiled Rice, Brinjals,Flat Rice, Whole Spices, Urad Dal, Other Flours, Moong Dal, Other Rice Products, Other Pulses, Kidney Beans,Flat Rice, Millet flour",Male,Silver,2,479,Credit Card,Shipped,17,55+
6429696,M36432,"7612452, 92377490, 7737419, 7752948, 15668478, 34931130",2014-10-01 00:00:00,"Other Oils, Face Cream, Face Cream, Face Cream, Banana, Colours ",Female,Gold,5,816,Credit Card,Pending,6,55+
6429758,M36432,29247038,2014-10-01 00:00:00,Raw Rice,Male,Silver,10,451,Cash,Pending,1,55+
6429856,M33491,"21408952, 15668458, 15669760, 15668451, 15668473, 15668381, 15669821, 7616471, 7624788, 15668380, 34987615",2014-10-01 00:00:00,"Whole Spices, Brinjals, Whole Spices, Brinjals, Beans, Other Vegetables, Whole Spices, Shaving Cream, Foam & Gels, Ghee, Other Vegetables, Milk",Male,Gold,10,712,PayPal,Delivered,11,26-35
6429882,M36702,"34938526, 34994233, 15668478, 15668379, 7587665, 7607551, 15668375, 15669856",2014-10-01 00:00:00,"Other Sweets, Organic F&V, Banana, Other Vegetables, Organic Masalas & Spices, Oats, Root Vegetables, Sugar",Female,Silver,8,893,Cash,Delivered,8,26-35
6429902,M43977,"34986328, 15669867, 15669860, 15669776, 15669789, 7757971, 15669880, 15668416, 15669829, 15668449, 15669864, 15669988",2014-10-01 00:00:00,"Kidney Beans, Other Pulses, Moong Dal, Other Pulses, Boiled Rice, Ghee, Millet flour, Banana, Raw Rice, Exotic Vegetables, Other Pulses, Other Pulses",Female,Silver,0,949,PayPal,Shipped,12,46-55
6430077,M33422,"7572311, 7735760",2014-10-01 00:00:00,"Snacks, Snacks",Male,Silver,10,633,PayPal,Delivered,2,36-45
6430162,M41781,"34987020, 7585037, 7541573, 7575638, 15669965, 15669987, 34990078",2014-10-01 00:00:00,"Frozen Veg Food, Instant Noodles, Glucose, Marie & Milk Biscuits, Instant Noodles, Raisins, Other Rice Products, Face Packs & Scrubs",Female,Bronze,1,313,Credit Card,Delivered,7,55+
6430330,M76390,"15668375, 34987569",30-09-2014,"Root Vegetables, Powdered Spices",Male,Silver,7,627,Credit Card,Pending,2,36-45
6430773,M35538,"15668478, 15669879, 15668451, 15668375, 15669861, 15668465, 15669816, 15668468",2014-10-01 00:00:00,"Banana, Other Pulses, Brinjals, Root Vegetables, Raw Peanuts, Root Vegetables, Other Pulses, Beans",Female,Gold,9,26,Cash,Shipped,8,19-25
6431008,M54382,"15670269, 15669988, 15669780, 15668469, 15669775, 15670267, 15668380",2014-10-01 00:00:00,"Other Pulses, Other Pulses, Sugar, Beans, Millet flour, Kidney Beans, Other Vegetables",Male,Silver,8,159,Cash,Shipped,7,55+
6431208,M12050,"15668381, 15669772, 15669887, 15668375, 34938526, 34995245, 7572313, 15668468, 15668462, 7579698, 15670251, 15669777, 15669860, 15668471, 7572311, 15668451, 7579697, 15669875, 7642486",2014-10-01 00:00:00,"Other Vegetables, Other Pulses, Maida, Root Vegetables, Other Sweets, Other Jams, Snacks, Beans, Gourd & Cucumber, Cream Biscuits, Organic F&V, Urad Dal, Moong Dal, Beans, Snacks, Brinjals, Cream Biscuits, Kidney Beans, Ice Creams & Desserts",Male,Bronze,8,140,Cash,Delivered,19,36-45
6431630,M99206,"15668474, 15668478, 15669766, 21408952, 15668467, 21410627, 15669881, 34988778, 15669825, 7753779, 15669883, 15668462, 15668451",2014-10-01 00:00:00,"Beans, Banana, Other Flours, Whole Spices, Beans, Organic Masalas & Spices, Millet flour, Rasagulla & Gulab Jamun, Boiled Rice, Health Drinks, Rice Flour, Gourd & Cucumber, Brinjals",Female,Bronze,4,154,PayPal,Pending,13,26-35
6431665,M38622,"7548730, 15668477, 7571385, 7587679, 7587688, 7628037, 7587658, 15670251, 7587495, 34990375, 7632452, 21410666, 21410667, 34990372, 7543295, 21410748, 7587661, 21410627, 7543241, 21410677, 7587659, 21410629, 15669819, 15670144, 7570497, 34990553, 15668416, 7570671, 7587657, 7541573, 7587687, 7629391, 7663376",2014-10-01 00:00:00,"Organic Flours, Exotic Vegetables, Glucose, Marie & Milk Biscuits, Organic Flours, Organic Masalas & Spices, Ghee, Organic Salt,Sugar & Jaggery, Organic F&V, Organic Pulses & Pulses, Healthy & Digestive Biscuits, Liquid Detergent, Organic Pulses & Pulses, Organic Flours, Healthy & Digestive Biscuits, Organic Masalas & Spices, Organic Juices, Organic Pulses & Pulses, Organic Masalas & Spices, Organic Pulses & Pulses, Organic Masalas & Spices, Organic Pulses & Pulses, Organic Edible Oils & Ghee, Other Pulses, Organic F&V, Toothpaste, Healthy & Digestive Biscuits, Banana, Liquid Soaps & Bars, Organic Pulses & Pulses, Glucose, Marie & Milk Biscuits, Organic Masalas & Spices, Glucose, Marie & Milk Biscuits, Mosquito Repellent",Male,Bronze,9,483,Credit Card,Pending,33,55+
6431675,M54796,"15668377, 15668478, 15669780, 34987956, 15668381, 15668685, 15668474, 15670241",2014-10-01 00:00:00,"Root Vegetables, Banana, Sugar, Corn Snacks, Other Vegetables, Beans, Beans, Organic F&V",Male,Gold,5,453,Cash,Pending,8,55+
6431884,M51043,"15668480, 15669776, 15669780, 15669824, 15669857, 7628087, 15669770, 15669760, 15670270, 15669864, 7704153, 7585573, 15669818, 15669777, 15669827, 7729965, 15668416, 34991192",2014-10-01 00:00:00,"Bread, Other Pulses, Sugar, Raw Rice, Raw Peanuts, Basmati Rice, Other Flours, Whole Spices, Other Pulses, Other Pulses, Mosquito Repellent, Cakes, Whole Spices, Urad Dal, Kidney Beans, Sunflower Oils, Banana, Muffins, Cookies & Rusk",Female,Bronze,5,72,Credit Card,Delivered,18,46-55
6432520,M32655,"7580088, 34935576, 34987954, 15669786, 93073679, 15669862, 92435927, 15669772, 7575483, 7572307",2014-10-01 00:00:00,"Ice Creams & Desserts, Bakery & Breads, Corn Snacks,Flat Rice, Snacks, Other Pulses, Basmati Rice, Other Pulses, Health Supplements, Snacks",Female,Gold,0,522,PayPal,Delivered,10,55+
6433387,M56368,"34986329, 15669872, 15669886, 15668469, 7580823, 15669780, 15668685, 15668460",2014-10-01 00:00:00,"Raw Rice,Flat Rice, Millet flour, Beans, Sunflower Oils, Sugar, Beans, Gourd & Cucumber",Male,Gold,9,864,Cash,Pending,8,55+
6433935,M31101,"15670253, 15668465, 34990053, 21410680",2014-10-02 00:00:00,"Organic F&V, Root Vegetables, Hair Colors & Dyes, Organic Dry Fruits",Female,Bronze,0,206,PayPal,Delivered,4,0-18
6434519,M42827,"15670269, 15669988, 15669864, 15669760, 15669780, 15669771, 15669872, 15669772, 15669763, 15669861, 15669878, 15669871, 29247044",2014-10-02 00:00:00,"Other Pulses, Other Pulses, Other Pulses, Whole Spices, Sugar, Maida,Flat Rice, Other Pulses, Other Pulses, Raw Peanuts, Kidney Beans, Other Rice Products, Besan",Male,Gold,4,995,Cash,Pending,13,0-18
6436519,M14746,"15669760, 34938526, 15669818, 7598777",2014-10-02 00:00:00,"Whole Spices, Other Sweets, Whole Spices, Agarbatti",Female,Bronze,7,354,PayPal,Pending,4,0-18
6436887,M52629,"7572730, 7587491, 7625825",2014-10-03 00:00:00,"Other Juices, Organic Flours, Health Drinks",Male,Gold,0,16,Credit Card,Shipped,3,36-45
6438096,M59232,"15669867, 15669823, 15669772, 15668381, 15669764, 15669874, 15669870, 15669857, 7624770, 15669832, 34938526, 15668688, 15669817, 15669887, 34986118, 7572252, 15669873, 15670267, 15669869, 15669998, 15669790, 15669804, 15669994, 15669781, 15670270, 15668460, 15668462, 15669786, 7628087, 15669835, 15669767, 15669860, 15669814, 15668467, 15669799, 34992257, 15669770, 34934495, 34992261, 15669818, 29247179",2014-10-03 00:00:00,"Other Pulses, Whole Spices, Other Pulses, Other Vegetables, Besan,Flat Rice, Millet flour, Raw Peanuts, Shampoo, Sugar, Other Sweets, Root Vegetables, Whole Spices, Maida, Whole Spices, Cooking Paste, Whole Spices, Kidney Beans, Moong Dal, Other Pulses, Other Rice Products, Cashews, Other Pulses, Rice Flour, Other Pulses, Gourd & Cucumber, Gourd & Cucumber,Flat Rice, Basmati Rice, Raw Rice, Urad Dal, Moong Dal, Jaggery, Beans, Raisins, Organic Baby Foods, Other Flours, Organic Branded Foods, Organic Baby Foods, Whole Spices, Whole Spices",Male,Silver,10,418,Cash,Pending,41,0-18
6439309,M31966,"15668378, 15668467, 7689353",2014-10-04 00:00:00,"Other Vegetables, Beans, Ground Coffee",Male,Silver,4,927,PayPal,Pending,3,55+
6439325,M32409,"15668378, 7593949, 15668458, 15668381, 15668520, 7579697, 15668688, 15668460",2014-10-04 00:00:00,"Other Vegetables, Cream Biscuits, Brinjals, Other Vegetables, Bread, Cream Biscuits, Root Vegetables, Gourd & Cucumber",Female,Gold,7,628,PayPal,Shipped,8,55+
6439360,M32409,"15669879, 15669790, 15669866, 15669872, 15669886, 15669785, 34986129, 15669862, 15669777, 15669804, 15669824, 7582053, 7578351, 34934318, 34990046, 7569803, 15669860, 7579697, 34987566, 7613347, 15669811, 15669789, 15669878, 15669764, 15669817, 15669864, 34986125, 15669778, 7630967",2014-10-04 00:00:00,"Other Pulses, Other Rice Products, Other Pulses,Flat Rice, Millet flour, Boiled Rice, Whole Spices, Other Pulses, Urad Dal, Cashews, Raw Rice, Health Drinks, Chinese Noodles, Organic Masalas & Spices, Phenyles & Acids, Snacks, Moong Dal, Cream Biscuits, Whole Spices, Honey, Almonds, Boiled Rice, Kidney Beans, Besan, Whole Spices, Other Pulses, Whole Spices, Other Pulses, Regular Pasta",Male,Bronze,6,195,Cash,Pending,29,26-35
6439410,M82651,"15669863, 34987566, 7573023, 15669765, 15669885, 7587677, 7587495, 15669866, 15669778, 34986134, 15670251, 15669760, 15669988",2014-10-04 00:00:00,"Moong Dal, Whole Spices, Shaving Blade & Razors, Urad Dal, Moong Dal, Organic Pulses & Pulses, Organic Pulses & Pulses, Other Pulses, Other Pulses, Whole Spices, Organic F&V, Whole Spices, Other Pulses",Female,Bronze,2,806,Credit Card,Delivered,13,55+
6439654,M43831,"15669859, 15668478, 15669763, 93141093, 15669863, 15668375, 34990777",2014-10-03 00:00:00,"Kidney Beans, Banana, Other Pulses, Curd, Moong Dal, Root Vegetables, Eggs",Female,Gold,10,52,Credit Card,Pending,7,55+
6439956,M45470,"15669875, 15669856, 15668378, 15668467",2014-10-04 00:00:00,"Kidney Beans, Sugar, Other Vegetables, Beans",Female,Gold,2,178,Cash,Pending,4,46-55
6440137,M86304,"15669879, 15669885, 15668380, 15668458, 7621686, 15668460, 15668381, 15669763, 15669772, 15669760, 34934311, 21408913",2014-10-04 00:00:00,"Other Pulses, Moong Dal, Other Vegetables, Brinjals, Butter & Cream, Gourd & Cucumber, Other Vegetables, Other Pulses, Other Pulses, Whole Spices, Organic Rice & Rice Products, Whole Spices",Female,Gold,10,239,Cash,Shipped,12,55+
6440451,M43189,"7630963, 15668378, 34990547, 15669994, 15668381, 7628037, 15669817, 34986119, 15669863, 15668458, 92436884, 15669988, 15669832, 15668688, 15669762",2014-10-04 00:00:00,"Tomato Ketchup, Other Vegetables, Cream Biscuits, Other Pulses, Other Vegetables, Ghee, Whole Spices, Whole Spices, Moong Dal, Brinjals, Glucose, Marie & Milk Biscuits, Other Pulses, Sugar, Root Vegetables, Urad Dal",Female,Silver,8,951,PayPal,Pending,15,55+
6440771,M84827,"15670157, 7587656, 7587674, 15668416, 15668466, 7623116, 15670255",2014-10-04 00:00:00,"Organic F&V, Organic Rice & Rice Products, Organic Masalas & Spices, Banana, Root Vegetables, Liquid Soaps & Bars, Organic F&V",Male,Gold,9,515,Cash,Delivered,7,36-45
6441474,M41747,"15669976, 15668379, 15669860, 15670144, 15669863, 15668521, 15669825, 15668594, 34989498, 15668468, 7543241, 7587649, 15669817, 15669828, 15668381, 15668688, 15668465, 15669804",2014-10-04 00:00:00,"Almonds, Other Vegetables, Moong Dal, Organic F&V, Moong Dal, Bread, Boiled Rice, Exotic Vegetables, Other Rice Products, Beans, Organic Pulses & Pulses, Organic Rice & Rice Products, Whole Spices, Boiled Rice, Other Vegetables, Root Vegetables, Root Vegetables, Cashews",Female,Bronze,7,722,PayPal,Delivered,18,55+
6441521,M55932,"15668378, 15668687, 15668379",2014-10-04 00:00:00,"Other Vegetables, Root Vegetables, Other Vegetables",Male,Gold,2,502,PayPal,Delivered,3,19-25
6443026,M18732,"15669863, 15669782, 34991187, 15668379, 15668458, 15668478, 15669856, 21410670",2014-10-05 00:00:00,"Moong Dal, Raw Rice, Bread, Other Vegetables, Brinjals, Banana, Sugar, Organic Rice & Rice Products",Female,Silver,3,180,PayPal,Pending,8,55+
6444153,M64055,"7572300, 15668377, 7582053, 34938526, 15668378, 15668460, 15668451, 7569799",2014-10-05 00:00:00,"Snacks, Root Vegetables, Health Drinks, Other Sweets, Other Vegetables, Gourd & Cucumber, Brinjals, Snacks",Female,Gold,6,246,Cash,Pending,8,0-18
6445003,M36366,"15668375, 15669863, 15669811, 34934493, 34934494, 15668379, 15669860, 7610713, 15668478",2014-10-05 00:00:00,"Root Vegetables, Moong Dal, Almonds, Chips, Chips, Other Vegetables, Moong Dal, Corn Snacks, Banana",Female,Gold,6,897,Cash,Shipped,9,55+
6445388,M36432,"15669887, 29247044, 15669884, 15668460, 7587673, 7572311, 15669872, 34990382, 7569799, 15668458, 15668477, 15669863, 92302710, 15669880",2014-10-05 00:00:00,"Maida, Besan, Whole Spices, Gourd & Cucumber, Organic Pulses & Pulses, Snacks,Flat Rice, Healthy & Digestive Biscuits, Snacks, Brinjals, Exotic Vegetables, Moong Dal, Face Wash, Millet flour",Male,Bronze,4,70,PayPal,Pending,14,55+
6445594,M56516,"15669872, 15669770, 34989207, 15668377, 15669835, 7692619, 15669781, 15669880, 15669861, 7630963",2014-10-05 00:00:00,"Avalakki / Poha, Other Flours, Corn Snacks, Root Vegetables, Raw Rice, Shaving Blade & Razors, Rice Flour, Millet flour, Raw Peanuts, Tomato Ketchup",Female,Silver,10,289,Credit Card,Shipped,10,46-55
6445802,M77779,"15669880, 15669835, 15669821, 15669760, 34989499, 15669872, 7594821, 15669884, 15669827, 15669887, 7598777, 15669774, 15668458, 7571385, 6884195, 15668375, 15669806, 15669857, 15668467, 34990371, 15669862, 15669832",2014-10-05 00:00:00,"Millet flour, Raw Rice, Whole Spices, Whole Spices, Other Pulses,Flat Rice, Instant Noodles, Whole Spices, Kidney Beans, Maida, Agarbatti, Urad Dal, Brinjals, Glucose, Marie & Milk Biscuits, Instant Noodles, Root Vegetables, Cashews, Raw Peanuts, Beans, Cream Biscuits, Other Pulses, Sugar",Male,Bronze,1,408,Cash,Delivered,22,55+
6446792,M46687,"15668467, 15668460, 15668687",2014-10-05 00:00:00,"Beans, Gourd & Cucumber, Root Vegetables",Female,Gold,2,516,Cash,Pending,3,46-55
6446934,M56897,"34938526, 7579698, 7593949, 7585573, 15668688, 93025752, 15668468, 15668379",2014-10-05 00:00:00,"Other Sweets, Cream Biscuits, Cream Biscuits, Cakes, Root Vegetables, Cream Biscuits, Beans, Other Vegetables",Female,Bronze,2,991,Cash,Pending,8,55+
6447202,M08075,"15668465, 15668480, 15668377, 15668378, 15668685, 15668474, 15669880",2014-10-06 00:00:00,"Root Vegetables, Bread, Root Vegetables, Other Vegetables, Beans, Beans, Millet flour",Female,Bronze,4,682,Credit Card,Delivered,7,46-55
6447370,M09303,"15668378, 15668520, 7575499, 15668688, 15669875",2014-10-06 00:00:00,"Other Vegetables, Bread, Aluminium Foil & Cling Wrap, Root Vegetables, Kidney Beans",Female,Silver,1,23,Cash,Shipped,5,55+
6447392,M62656,"7580802, 15668381",2014-10-06 00:00:00,"Sunflower Oils, Other Vegetables",Male,Bronze,5,550,Credit Card,Delivered,2,36-45
6447929,M76390,"7580802, 15669787, 15669860, 15668685, 15669767, 15669887, 15669786, 7587655, 21408947, 7587698, 29247044, 34989668, 15670251",2014-10-06 00:00:00,"Sunflower Oils, Raw Rice, Moong Dal, Beans, Urad Dal, Maida,Flat Rice, Organic Rice & Rice Products, Other Rice Products, Organic Flours, Besan, Other Rice Products, Organic F&V",Male,Bronze,1,397,Cash,Delivered,13,36-45
6448115,M35464,"15668688, 15668467",2014-10-06 00:00:00,"Root Vegetables, Beans",Male,Bronze,5,193,Cash,Delivered,2,55+
6448254,M86572,"7678784, 15668480, 34990379, 15669782",2014-10-06 00:00:00,"Packaged Drinking Water, Bread, Healthy & Digestive Biscuits, Raw Rice",Male,Silver,2,620,Cash,Shipped,4,55+
6448540,M59012,"34994233, 15670162, 93009288",2014-10-06 00:00:00,"Organic F&V, Organic F&V, Organic Pulses & Pulses",Male,Bronze,1,219,Cash,Shipped,3,55+
6448835,M42182,"34986126, 15668688, 15669887, 15668521, 15668458",2014-10-06 00:00:00,"Whole Spices, Root Vegetables, Maida, Bread, Brinjals",Male,Bronze,7,372,Credit Card,Shipped,5,55+
6449117,M96365,"15668380, 15668381, 34989441, 15669864, 15669856",2014-10-06 00:00:00,"Other Vegetables, Other Vegetables, Soya Products, Other Pulses, Sugar",Female,Gold,4,98,Credit Card,Pending,5,55+
6449759,M35070,"15669782, 7582057, 15669835, 34987568, 15669856",2014-10-06 00:00:00,"Raw Rice, Health Drinks, Raw Rice, Whole Spices, Sugar",Male,Bronze,1,129,PayPal,Shipped,5,55+
6456117,M33558,"15669773, 7610711, 21410747, 34938526, 15668473, 15668375, 15668478",19-09-2014,"Urad Dal, Chips, Organic Juices, Other Sweets, Beans, Root Vegetables, Banana",Female,Gold,9,801,Cash,Shipped,7,0-18
6456166,M37253,"15669772, 15668469, 15668451, 34938526, 15669776, 7572254, 34986330, 15668684, 15670251",19-09-2014,"Other Pulses, Beans, Brinjals, Other Sweets, Other Pulses, Cooking Sauce, Raw Rice, Beans, Organic F&V",Male,Silver,5,76,PayPal,Delivered,9,0-18
6456172,M35649,"15669880, 34938526, 15668688, 15668416, 7572311, 34990558, 7572300, 7580969, 15668473",19-09-2014,"Millet flour, Other Sweets, Root Vegetables, Banana, Snacks, Healthy & Digestive Biscuits, Snacks, Ready Baking Mixes, Beans",Female,Gold,4,452,PayPal,Shipped,9,55+
6456351,M33422,"15668595, 15668688, 15669763, 15668466, 34990776",20-09-2014,"Exotic Vegetables, Root Vegetables, Other Pulses, Root Vegetables, Eggs",Female,Gold,10,236,Cash,Delivered,5,55+
6456441,M37600,"34938526, 15670257, 15668521",20-09-2014,"Other Sweets, Organic F&V, Bread",Male,Gold,4,384,PayPal,Shipped,3,19-25
6456571,M55932,"7580823, 34987614, 7587656, 34993978, 15668687, 34938526, 15669791, 15668379, 34990774",20-09-2014,"Sunflower Oils, Milk, Organic Rice & Rice Products, Mosquito Repellent, Root Vegetables, Other Sweets, Raw Rice, Other Vegetables, Eggs",Male,Gold,6,674,Cash,Pending,9,55+
6456933,M54345,"15669865, 15668467, 15669885, 21408942, 34990883, 34931567, 7572301, 21410638, 15669872, 15669772, 7569801, 7572302, 7752915, 15669769, 15668478, 7540256, 7572300, 15669778, 7572303, 7623116, 15668688, 7736902, 7569799, 7572242, 15669760, 15669988, 92379298, 15669860, 34938526, 15669863, 93174226",20-09-2014,"Other Pulses, Beans, Moong Dal, Other Rice Products, Home & Air Freshener, Mouthwash, Snacks, Flakes,Flat Rice, Other Pulses, Snacks, Snacks, Health Supplements, Other Pulses, Banana, Basmati Rice, Snacks, Other Pulses, Snacks, Liquid Soaps & Bars, Root Vegetables, Snacks, Snacks, Instant Noodles, Whole Spices, Other Pulses, Liquid Soaps & Bars, Moong Dal, Other Sweets, Moong Dal, Body Wash",Male,Bronze,3,134,Credit Card,Pending,31,26-35
6456968,M25900,"34934311, 34938526, 15668478",20-09-2014,"Organic Rice & Rice Products, Other Sweets, Banana",Female,Gold,3,706,Cash,Pending,3,0-18
6457092,M35538,"34938526, 15668478, 15669772, 15668375, 7586526, 7569799",20-09-2014,"Other Sweets, Banana, Other Pulses, Root Vegetables, Snacky Nuts, Snacks",Female,Gold,10,707,Credit Card,Shipped,6,36-45
6457099,M56255,"15669762, 15668468, 7621709, 34934493, 15669864, 15669863, 15669764, 34938526, 15668375, 15669885, 15670251, 15669988, 15670245",20-09-2014,"Urad Dal, Beans, Glucose, Marie & Milk Biscuits, Chips, Other Pulses, Moong Dal, Besan, Other Sweets, Root Vegetables, Moong Dal, Organic F&V, Other Pulses, Organic F&V",Female,Bronze,4,515,Cash,Pending,13,55+
6457426,M78720,"7586352, 7572687, 7586502, 34995196, 7586551, 34992544, 34938526, 7753738",20-09-2014,"Chips, Packaged Drinking Water, Chips, Instant Pastas, Chips, Instant Pastas, Other Sweets, Health Drinks",Female,Gold,0,347,PayPal,Shipped,8,55+
6457523,M54619,"15668379, 7570686, 34938526, 15668478",20-09-2014,"Other Vegetables, Hair Colors & Dyes, Other Sweets, Banana",Female,Bronze,0,100,Cash,Shipped,4,55+
6457852,M27458,"15669769, 7593949, 15669881, 34938526, 15668451",20-09-2014,"Other Pulses, Cream Biscuits, Millet flour, Other Sweets, Brinjals",Female,Silver,9,833,Cash,Shipped,5,55+
6457919,M91098,"15668375, 15668468, 34938526, 15668473",20-09-2014,"Root Vegetables, Beans, Other Sweets, Beans",Male,Silver,1,548,Credit Card,Delivered,4,26-35
6457975,M32409,"15668473, 15669878, 7593949, 7579697, 15668688, 15668381, 15668458, 15668520, 34938526, 15668460",20-09-2014,"Beans, Kidney Beans, Cream Biscuits, Cream Biscuits, Root Vegetables, Other Vegetables, Brinjals, Bread, Other Sweets, Gourd & Cucumber",Female,Gold,8,600,Cash,Pending,10,0-18
